R01,R02,R03,RB,R10_12,R13_15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31_32,R33,RD,R36,R37_39,RF,R45,R46,R47,R49,R50,R51,R52,R53,RI,R58,R59_60,R61,R62_63,R64,R65,R66,R68B,R68A,R69_70,R71,R72,R73,R74_75,R77,R78,R79,R80_82,R84,RP,R86,R87_88,R90_92,R93,R94,R95,R96,RT
9.031,2.487,149.454,270.209,203.147,14.051,32.358,1895.873,11.104,0,0,769.144,16.111,143.903,1432.059,53.119,46.355,61.046,86.423,19.601,82.749,61.082,76.681,117.014,19.009,9877.888,3971.963,412.343,1625.613,878.389,198.426,172.65,89.749,1635.107,21.076,874.511,214.118,159.148,94.863,449.161,92.476,44.649,81.274,3185.701,0.176,301.449,669.168,81.902,117.91,100.686,158.42,109.192,49.677,242.453,633.793,342.352,347.924,308.737,161.595,110.741,196.017,11.092,90.543,0
1778.295,158.687,823.082,481.734,707.621,31.985,131.077,24.466,47.127,0,0,154.722,51.979,176.597,94.342,207.584,59.579,56.196,261.451,35.472,253.499,53.213,201.89,339.691,665.989,1419.457,126724.285,397.995,892.731,1354.804,652.923,27.285,40.29,1969.616,78.911,1964.162,137.488,52.522,4118.112,322.419,412.606,628.422,89.094,9634.961,11552.609,241.177,285.752,94.947,60.082,76.913,254.437,49.632,110.213,176.314,25937.34,1951.951,2115.664,1502.749,734.027,264.338,340.048,8.741,132.975,0
149.415,22.953,7.522,220.936,34.978,2.808,8.984,2.404,5.79,0,0,13.548,3.897,15.685,7.915,17.338,3.88,4.832,14.444,29.013,17.526,4.067,12.826,16.775,12.87,550.648,3326.434,1955.019,479.968,297.335,3360.279,1.604,22.494,298.397,397.74,143.888,200.907,127.416,179.034,548.5,30.797,19.095,14.814,1083.656,0,111.544,240.071,17.695,47.448,65.709,975.99,57.82,26.488,342.399,999.189,190.453,344.416,150.572,54.901,17.231,58.2,13.66,53.323,0
868.522,104.856,1566.799,3736.702,6917.978,506.023,1597.588,521.821,236.995,0,0,2608.795,500.215,1320.382,2937.417,1359.226,880.925,1213.263,1778.32,531.309,942.515,621.04,1923.907,464.214,117.183,1282.449,17391.808,2333.375,4628.727,3144.386,2295.889,354.326,669.318,3120.099,410.464,1965.655,661.483,617.192,597.819,1631.372,489.642,233.046,253.144,1072.472,1440.748,682.362,2399.61,331.669,1018.507,504.862,1756.106,208.667,105.828,1884.425,1633.307,1528.493,2414.645,1673.438,1093.785,333.096,668.186,80.339,294.452,0
699.185,68.246,1247.276,2918.643,5716.447,422.168,1328.295,435.815,183.39,0,0,2176.304,410.042,1063.966,2442.5,1099.928,733.676,1006.85,1456.796,439.264,778.342,513.908,1573.79,372.512,91.24,972.645,13677.061,1995.538,4095.916,2725.409,1638.222,295.32,649.607,2544.428,299.881,1706.657,603.6,492.197,590.184,1319.795,538.483,254.004,254.349,869.18,1195.454,541.196,1822.671,269.043,984.327,413.931,998.156,174.012,93.847,1541.697,1274.712,1158.398,1953.736,1324.624,955.411,257.236,551.33,65.163,229.401,0
242.721,9.828,340.935,1716.695,3019.275,138.158,733.967,568.149,88.458,0,0,2381.654,305.658,1233.384,1102.563,404.175,156.628,253.504,450.714,132.432,170.959,249.385,341.479,71.311,18.99,375.815,4376.181,798.027,5719.845,1715.239,4059.257,77.756,437.591,1985.356,603.036,292.259,1093.083,760.526,151.295,398.926,132.907,9.096,55.682,209.252,165.636,168.722,484.24,74.286,125.072,107.416,262.644,63.223,577.552,308.61,15966.139,2320.817,1069.047,548.447,216.3,55.062,191.799,19.744,102.399,0
49.291,4.742,84.237,3484.774,693.438,32.793,165.457,124.304,32.059,0,0,473.065,72.143,293.319,247.716,123.812,43.48,61.46,127.151,33.286,77.535,62.142,103.87,39.447,5.207,189.769,642.055,223.783,1330.844,495.89,2705.789,8128.729,110.398,502.325,109.255,143.462,254.698,190.077,79.696,185.228,59.817,2.303,25.146,111.127,30.18,96.494,298.883,28.356,32.182,44.371,155.594,31.115,89.919,124.456,1371.616,96.306,131.999,142.291,84.032,35.055,64.161,6.104,43.28,0
16.879,2.069,7.695,2110.07,306.497,19.876,49.797,54.837,18.796,0,0,416.942,30.375,98.889,183.657,99.517,87.868,59.755,437.838,40.829,161.154,67.578,151.964,39.361,2.025,44.285,1655.531,323.484,1090.8,733.843,300.722,115.487,1526.801,212.399,337.554,58.1,137.255,115.842,24.464,375.395,259.215,9.317,56.752,91.922,1.423,217.574,384.272,60.905,36.608,78.343,86.861,99.005,6032.469,126.897,1077.033,296.28,268.08,332.218,284.674,27.471,269.701,8.43,36.878,0
271.426,17.443,492.293,1700.157,2993.666,167.56,714.958,456.256,101.941,0,0,1735.309,281.321,1017.27,1124.91,481.592,233.033,334.99,697.177,163.951,246.974,259.191,507.195,115.759,27.979,425.516,4337.774,1010.643,4890.029,2165.302,2458.274,57736.229,12561.81,2445.377,305.834,735.446,849.725,603.075,199.106,525.4,176.512,19.08,79.603,438.617,296.232,270.052,670.33,102.985,209.384,150.502,389.793,80.01,35.414,457.294,1012.559,477.835,657.499,528.929,334.59,140.242,251.181,26.838,142.234,0
34.258,1.059,39.262,346.462,197.943,17.278,36.389,13.778,9.405,0,0,139.268,13.749,33.499,52.905,46.425,35.946,29.583,108.044,14.997,44.325,32.505,53.162,307.702,37.216,249.199,662.854,168.456,1157.237,684.316,165.548,18.645,59.342,589.022,42.033,177.608,1760.433,213.876,115.024,610.971,711.326,4.453,111.148,742.018,0.84,429.282,1191.771,114.699,141.726,181.806,291.534,268.658,48.599,392.08,819.428,212.772,218.784,283.864,212.46,43.011,127.951,8.726,38.371,0
